Date,Open,High,Low,Close,Volume
2/25/05,92.7949,93.8716,92.7097,93.6948,79289004
2/28/05,93.4735,93.5952,92.6083,93.0544,89985785
3/1/05,93.1845,93.7683,93.1845,93.5386,61658442
3/2/05,93.1749,94.0766,93.0735,93.4927,83253671
3/3/05,93.8716,94.0575,93.1203,93.5301,80491538
3/4/05,94.1512,94.7819,93.9675,94.7073,72809892
3/7/05,94.6499,95.0882,94.4327,94.7456,56781312
3/8/05,94.6594,94.8872,94.1991,94.3665,57895709
3/9/05,94.1043,94.3378,93.3148,93.3232,95400795
3/10/05,93.3329,93.7494,92.8868,93.5386,84641541
3/11/05,93.778,93.9102,92.6907,92.8868,75346247
3/14/05,92.8868,93.4833,92.8037,93.464,47099391
3/15/05,93.6811,93.7226,92.6438,92.6812,80992092
3/16/05,92.3499,92.5002,91.7421,91.9098,99446724
3/17/05,92.0648,92.3777,91.7987,92.101,81318454
3/18/05,91.8905,92.2321,91.1564,91.4504,80209634
3/21/05,91.5871,91.6435,90.8453,91.1221,79620680
3/22/05,91.3241,91.7519,90.2002,90.2002,120971319
3/23/05,90.2195,90.8283,90.0836,90.274,93252232
3/24/05,90.6289,91.0283,90.32,90.3851,67424176
3/28/05,90.5909,90.991,90.5114,90.5114,60842798
3/29/05,90.3851,90.9535,89.6961,89.9035,94676790
3/30/05,90.2002,91.2022,90.0931,91.1841,81522073
3/31/05,91.1938,91.3956,90.9258,91.0088,84310645
4/1/05,91.5135,91.8072,90.2002,90.6001,126236623
4/4/05,90.5564,90.9172,90.0739,90.7544,92814412
4/5/05,90.854,91.3335,90.7897,91.1938,64910508
4/6/05,91.3956,91.7708,91.1841,91.497,69097710
4/7/05,91.3613,92.0177,91.277,92.0007,61209472
4/8/05,91.9471,91.9843,91.0378,91.0378,83334418
4/11/05,91.2597,91.3698,90.8979,91.1221,59436913
4/12/05,90.9449,91.8619,90.32,91.5777,112205091
4/13/05,91.4683,91.6617,90.3764,90.5027,85621141
4/14/05,90.61,90.6635,89.3295,89.3295,129148331
4/15/05,89.3036,89.6498,88.0295,88.0669,173763858
4/18/05,88.0487,88.695,87.9176,88.3424,130023851
4/19/05,88.8039,89.2758,88.5973,89.0537,88656624
4/20/05,89.0451,89.2125,87.6027,87.7854,148844377
4/21/05,88.5636,89.6596,88.2449,89.5083,113367309
4/22/05,89.3036,89.8757,88.1665,89.1683,116441678
4/25/05,89.3973,89.8757,89.2854,89.7505,67871463
4/26/05,89.4795,90.0931,88.8363,88.8823,97680646
4/27/05,88.6242,89.5533,88.2985,89.2315,110411018
4/28/05,88.9359,89.2576,88.1119,88.1119,96261281
4/29/05,88.7855,89.4069,87.9261,89.312,135165377
5/2/05,89.5533,89.803,89.1415,89.803,72660708
5/3/05,89.5533,90.1571,89.2576,89.9666,112651084
5/4/05,89.9916,90.8453,89.713,90.6635,106913208
5/5/05,90.7897,91.0378,90.0739,90.6289,126141487
5/6/05,90.9822,91.0283,90.32,90.3381,90213901
5/9/05,90.4501,91.1134,90.3102,90.8904,56998543
5/10/05,90.5564,90.6635,89.7936,89.9666,97252668
5/11/05,90.2097,90.5735,89.3905,90.4645,119295448
5/12/05,90.52,90.718,89.0537,89.471,123874723
5/13/05,89.7227,89.9666,88.5715,89.2854,110742945
5/16/05,89.266,90.1478,89.2392,90.1198,63964862
5/17/05,89.8204,90.809,89.625,90.7086,79603309
5/18/05,91.1038,91.8713,91.0463,91.6523,101166140
5/19/05,91.8265,92.1394,91.5777,92.0455,81460507
5/20/05,92.0926,92.1203,91.6157,91.9098,60171548
5/23/05,91.9843,92.6083,91.9651,92.4159,66482810
5/24/05,92.1567,92.463,91.9749,92.2142,66100846
5/25/05,92.101,92.4906,91.6895,92.1394,62840231
5/26/05,92.4256,92.7385,92.2973,92.616,56457030
5/27/05,92.6248,92.7771,92.4351,92.7771,31938170
5/31/05,92.6438,92.7002,92.1298,92.195,58235805
6/1/05,92.2321,93.2955,92.1662,92.9691,90578238
6/2/05,92.7573,93.2401,92.6618,93.1749,52473180
6/3/05,93.0075,93.2774,92.3681,92.6812,79132178
6/6/05,92.5987,92.7289,92.2514,92.6083,47090192
6/7/05,92.8868,93.5473,92.5987,92.6715,86439762
6/8/05,92.9128,93.0449,92.3319,92.5167,64835717
6/9/05,92.3777,93.0353,92.1567,92.95,74095502
